FrameNumber,Status,CentroidX,CentroidY,RectX,RectY,RectW,RectH
79,OK,746,289,684,243,102,77
80,OK,748,291,689,241,97,82
81,OK,751,294,693,242,96,84
82,OK,755,299,700,246,93,84
83,OK,755,302,701,251,94,82
84,OK,751,303,690,252,109,84
85,OK,748,304,681,252,118,88
86,OK,744,304,674,250,120,94
87,OK,743,306,671,255,115,94
88,OK,747,310,687,258,92,96
89,OK,748,313,693,256,80,102
90,OK,748,319,703,257,66,106
91,OK,749,329,710,263,57,105
92,OK,747,336,708,271,58,102
93,OK,745,340,706,277,59,100
94,OK,743,345,705,282,59,99
95,OK,743,349,704,286,60,98
96,OK,742,353,704,291,60,97
97,OK,742,359,701,296,67,97
98,OK,741,363,692,306,84,94
99,OK,737,365,680,308,99,97
100,OK,735,367,670,307,114,102
101,OK,735,370,662,308,126,105
102,OK,736,373,657,310,135,107
103,OK,739,378,658,316,141,104
104,OK,740,382,660,318,139,106
105,OK,741,384,662,320,137,107
106,OK,742,387,665,321,134,109
107,OK,743,389,666,321,133,111
108,OK,743,391,668,323,131,112
109,OK,742,393,670,324,127,113
110,OK,742,395,669,332,121,107
111,OK,743,399,674,344,111,97
112,OK,746,403,682,352,101,90
113,OK,749,406,690,355,92,90
114,OK,751,409,698,356,83,91
115,OK,753,412,705,358,76,91
116,OK,754,416,711,360,70,92
117,OK,755,420,717,362,63,92
118,OK,755,424,718,366,61,90
119,OK,755,427,717,371,62,87
120,OK,755,429,717,372,61,88
121,OK,754,430,717,371,61,91
122,OK,754,431,716,373,62,91
123,OK,753,433,716,375,62,90
124,OK,753,435,715,376,63,91
125,OK,752,436,715,377,63,92
126,OK,752,438,715,379,63,91
127,OK,751,439,714,380,63,91
128,OK,751,441,713,382,64,91
129,OK,751,442,712,383,65,91
130,OK,750,443,711,385,65,91
131,OK,749,444,709,385,70,90
132,OK,747,443,702,389,76,85
133,OK,746,442,700,392,74,80
134,OK,747,445,704,399,69,73
135,OK,748,447,701,402,72,69
136,OK,747,447,698,402,77,70
137,OK,746,447,695,402,81,69
138,OK,746,446,693,401,85,69
139,OK,746,445,690,401,93,68
140,OK,743,445,682,399,101,69
141,OK,741,444,676,398,106,70
